item,combination1,combination2,combination3
appam,stew,kadalacurry,chutney
porota,chickenchilly,kadaichicken,veg kurma
chapati,chickenchilly,kadaichicken,veg kurma
puri,baaji,green peas masala,sambar
rotti,chickenchilly,kadaichicken,chicken curry
grill chicken,porota,tandoor rotti,rumal rotti
alfaham,porota,tandoor rotti,naan
chicken tandoori,garlic porota,mini porota,rotti
butter chicken,porota,kuboos,naan
dosha,chutney,egg curry,paneer masala
idly,chutney,sambar,chicken curry
beef curry,porota,nei pathal,chapati
chicken biriyani,chicken lolipop,chicken 65,chicken wings
beef biriyani,beef fry,beef sukka,chicken 65
fish biriyani,ayakura fry,prawn fry,maanji fry
mutton biriyani,mutton soup,sweetcorn soup,chicken fry
boiled rice,daal,sambar,maanji fry
white rice,daal,sambar,maanji fry
ghee rice,chicken curry,beef curry,mutton curry
grilled chicken mandhi,chicken lolipop,mayonese,chicken 65
chicken mandhi(grill),chicken lolipop,chicken 65,chicken wings
beef mandhi,beef fry,beef sukka,chicken 65
fish mandhi,ayakkura fry,prawn fry,maanji fry
mutton mandhi,mutton soup,sweetcorn soup,chicken fry
alfaham mandhi,mayonese,chicken 65,chicken lolipop
singapore chicken,kuboos,naan,tandoor rotti
drongon chicken,tandoor rotti,kuboos,naan
chicken manchurian dry,naan,tandoor rotti,kuboos
lemon chicken fry,porota,tandoor rotti,rumal rotti
BBQ chicken,tandoor rotti,rumal rotti,naan
prawn curry,porota,kuboos,naan
prawn chilly,naan,tandoor rotti,kuboos
masala dosha,tea,coffee,malt
ghee roast,garlic porota,mini porota,rotti
vada,chutney,sambar,tea
chicken noodles,schezwan noodles,mushroom noodles,fresh lime
egg noodles,veg noodles,chicken noodles,fresh lime
schezwan noodles,chicken noodles,veg noodles,fresh lime
veg noodles,mushroom noodles,schezwan noodles,fresh lime
korean noodles,chicken noodles,veg noodles,fresh lime
mushroom noodles,veg noodles,chicken noodles,fresh lime
chicken fried rice,fried chicken,veg fried rice,egg fried rice
veg fried rice,chicken fried rice,schezwan fried rice,egg fried rice
egg fried rice,chicken fried rice,veg fried rice,fried chicken
schezwan fried rice,fried chicken,chicken lolipop,butter chicken
beef fried rice,mixed fried rice,mutton fried rice,paneer fried rice
mixed fried rice,mutton fried rice,beef fried rice,paneer fried rice
